year,date,id,sex,lon,lat
2015,2015-08-22T00:00:00Z,BI041079 ZF-195 +,Hona,508175,6944989
2015,2015-08-21T00:00:00Z,BI407294 Z15-564,Hona,493454,6969796
2015,2015-08-21T00:00:00Z,BI406693 Y15-204,Hona,633778,7064965
2015,2015-08-21T00:00:00Z,BI407131 Z15-401,Hona,471186,6887477
2015,2015-08-22T00:00:00Z,BI406943 Z15-213,Hona,507902,6946007
2015,2015-08-21T00:00:00Z,BI406721 Y15-232,Hane,512539,6932436
2015,2015-08-21T00:00:00Z,BI080325 X12-130,Hane,554392,6997702
2015,2015-08-22T00:00:00Z,BI406608 Y15-119 +,Hona,562691,7032321
2015,2015-08-21T00:00:00Z,BI041205 ZF-323 Z15-294,Hona,448970,6846702
2015,2015-08-21T00:00:00Z,BI407055 Z15-325 +,Hane,545853,7067272
2015,2015-08-21T00:00:00Z,BI406550 Y15-061,Hane,653562,7047254
2015,2015-08-22T00:00:00Z,BI406922 Z15-192 +,Hane,525802,6968890
2015,2015-08-21T00:00:00Z,BI080643 AC2014-129 +,Hane,556784,7124457
2015,2015-08-21T00:00:00Z,BI041493 ZM-316,Hane,538175,7035290
2015,2015-08-21T00:00:00Z,BI406627 Y15-138,Hane,658941,7052132
2015,2015-08-21T00:00:00Z,BI406934 Z15-204,Hane,537638,7037013
2015,2015-08-21T00:00:00Z,BI406693 Y15-204,Hona,631475,7063567
2015,2015-08-21T00:00:00Z,BI406665 Y15-176,Hane,523645,6936023
2015,2015-08-21T00:00:00Z,BI407115 Z15-385 +,Hane,490869,6982892
2015,2015-08-22T00:00:00Z,BI406560 Y15-071,Hona,657227,7052611
2015,2015-08-21T00:00:00Z,BI407077 Z15-347 +,Hona,545975,7066321
2015,2015-08-21T00:00:00Z,BI406935 Z15-205 +,Hona,562891,7096579
2015,2015-08-23T00:00:00Z,BI407180 Z15-450,Hona,499132,7085372
2015,2015-08-22T00:00:00Z,BI407060 Z15-330,Hona,453814,6841779
2015,2015-08-22T00:00:00Z,BI406409 NT134,Hane,488148,7014477
2015,2015-08-22T00:00:00Z,BI407047 Z15-317,Hane,516639,6993753
2015,2015-08-22T00:00:00Z,BI080374 X12-179,Hane,529132,6981309
2015,2015-08-22T00:00:00Z,BI407138 Z15-408,Hona,521371,7119475
2015,2015-08-22T00:00:00Z,BI040993 ZF-100 +,Hona,510866,7128176
2015,2015-08-23T00:00:00Z,BI406759 Z15-029 +,Hane,519909,7113493
2015,2015-08-23T00:00:00Z,BI407055 Z15-325 +,Hane,543723,7068919
2015,2015-08-21T00:00:00Z,BI407174 Z15-444 +,Hane,517037,7123472
2015,2015-08-22T00:00:00Z,BI407093 Z15-363,Hona,546785,7049658
2015,2015-08-23T00:00:00Z,BI406627 Y15-138,Hane,625373,7072549
2015,2015-08-21T00:00:00Z,BI406550 Y15-061,Hane,645729,7048000
2015,2015-08-21T00:00:00Z,BI406561 Y15-072 +,Hane,622237,7009630
2015,2015-08-21T00:00:00Z,BI406946 Z15-216 +,Hona,461674,7037420
2015,2015-08-23T00:00:00Z,BI080312 X12-118,Hona,538390,6925587
2015,2015-08-22T00:00:00Z,BI041433 ZM-245,Hane,436039,6888934
2015,2015-08-22T00:00:00Z,BI407065 Z15-335 +,Hona,523111,7105369
2015,2015-08-21T00:00:00Z,BI050160 AC942,Hane,671235,7072893
2015,2015-08-22T00:00:00Z,BI407169 Z15-439 +,Hane,541598,7036234
2015,2015-08-22T00:00:00Z,BI406951 Z15-221 +,Hona,471585,7078267
2015,2015-08-22T00:00:00Z,BI406669 Y15-180,Hane,655550,7065340
2015,2015-08-22T00:00:00Z,BI407191 Z15-461,Hona,517034,7123451
2015,2015-08-22T00:00:00Z,BI407209 Z15-479,Hona,525720,7056637
2015,2015-08-23T00:00:00Z,BI407108 Z15-378,Hane,507581,6897244
2015,2015-08-23T00:00:00Z,BI407055 Z15-325 +,Hane,547640,7066760
2015,2015-08-23T00:00:00Z,BI406558 Y15-069,Hane,532500,6942586
2015,2015-08-22T00:00:00Z,BI041257 ZF-52 Z15-344,Hona,494169,7132144
2015,2015-08-22T00:00:00Z,BI407213 Z15-483,Hona,421046,6882090
2015,2015-08-21T00:00:00Z,BI406627 Y15-138,Hane,649611,7051573
2015,2015-08-21T00:00:00Z,BI406561 Y15-072 +,Hane,622064,7009866
2015,2015-08-21T00:00:00Z,BI406594 Y15-105,Hona,559513,7058841
2015,2015-08-23T00:00:00Z,BI407231 Z15-501,Hane,486646,6931203
2015,2015-08-23T00:00:00Z,BI406620 Y15-131,Hona,606394,7062262
2015,2015-08-23T00:00:00Z,BI406721 Y15-232,Hane,513631,6933966
2015,2015-08-21T00:00:00Z,BI406570 Y15-081,Hane,645555,7044008
2015,2015-08-22T00:00:00Z,BI406512 Y15-023,Hane,644259,7045172
2015,2015-08-23T00:00:00Z,BI040993 ZF-100 +,Hona,509378,7127906
2015,2015-08-21T00:00:00Z,BI406638 Y15-149 +,Hane,574428,6941441
2015,2015-08-22T00:00:00Z,BI406635 Y15-146,Hona,569663,6944489
2015,2015-08-23T00:00:00Z,BI407101 Z15-371,Hona,500045,7090844
2015,2015-08-22T00:00:00Z,BI407370 Z15-640,Hona,532582,7065627
2015,2015-08-22T00:00:00Z,BI406972 Z15-242,Hane,528619,7105871
2015,2015-08-21T00:00:00Z,BI406655 Y15-166 +,Hane,557552,7059512
2015,2015-08-24T00:00:00Z,BI407118 Z15-388,Hane,434482,7053142
2015,2015-08-22T00:00:00Z,BI406780 Z15-050,Hane,468938,6871888
2015,2015-08-22T00:00:00Z,BI407229 Z15-499,Hona,444229,6892688
2015,2015-08-23T00:00:00Z,BI407370 Z15-640,Hona,532626,7062124
2015,2015-08-22T00:00:00Z,BI041122 ZF-241,Hona,498042,6889050
2015,2015-08-21T00:00:00Z,BI407345 Z15-615,Hona,505854,7110464
2015,2015-08-22T00:00:00Z,BI407006 Z15-276,Hona,380392,6926473
2015,2015-08-22T00:00:00Z,BI406916 Z15-186 +,Hona,559751,7098435
2015,2015-08-22T00:00:00Z,BI407317 Z15-587 +,Hane,438486,7013344
2015,2015-08-23T00:00:00Z,BI080374 X12-179,Hane,529382,6981424
2015,2015-08-22T00:00:00Z,BI407030 Z15-300,Hane,537368,7016457
2015,2015-08-22T00:00:00Z,BI406787 Z15-057,Hane,487477,6931931
2015,2015-08-21T00:00:00Z,BI041080 ZF-196,Hona,522739,6994761
2015,2015-08-25T00:00:00Z,BI041095 ZF-210,Hona,493989,6954214
2015,2015-08-23T00:00:00Z,BI407047 Z15-317,Hane,513280,6985327
2015,2015-08-23T00:00:00Z,BI406999 Z15-269,Hona,500308,7089563
2015,2015-08-23T00:00:00Z,BI407295 Z15-565,Hona,421757,6925997
2015,2015-08-23T00:00:00Z,BI407317 Z15-587 +,Hane,448067,7011146
